Event,Medal,Athlete,Result,Country,Record
100 metres,Gold,Noah Lyles,9.79,United States,PB
200 metres,Gold,Letsile Tebogo,19.46,Botswana,AR
400 metres,Gold,Quincy Hall,43.40,United States,PB
800 metres,Gold,Emmanuel Wanyonyi,1:41.19,Kenya,PB
1500 metres,Gold,Cole Hocker,3:27.65,United States,"OR, AR"
5000 metres,Gold,Jakob Ingebrigtsen,13:13.66,Norway,SB
"10,000 metres",Gold,Joshua Cheptegei,26:43.14,Uganda,OR
110 metres hurdles,Gold,Grant Holloway,12.99,United States,
400 metres hurdles,Gold,Rai Benjamin,46.46,United States,=SB
3000 metres steeplechase,Gold,Soufiane El Bakkali,8:06.05,Morocco,SB
4 × 100 metres relay,Gold,Canada Aaron Brown Jerome Blake Brendon Rodney Andre De Grasse,37.50,Canada,SB
4 × 400 metres relay,Gold,United States Christopher Bailey Vernon Norwood Bryce Deadmon Rai Benjamin Quincy Wilson[b],2:54.43,United States,OR
Marathon,Gold,Tamirat Tola,2:06:26,Ethiopia,OR
20 kilometres walk,Gold,Brian Pintado,1:18:55,Ecuador,
High jump,Gold,Hamish Kerr,2.36,New Zealand,=AR
Pole vault,Gold,Armand Duplantis,6.25,Sweden,WR
Long jump,Gold,Miltiadis Tentoglou,8.48,Greece,
Triple jump,Gold,Jordan Díaz,17.86,Spain,
Shot put,Gold,Ryan Crouser,22.90,United States,SB
Discus throw,Gold,Rojé Stona,70.00,Jamaica,OR/PB
Hammer throw,Gold,Ethan Katzberg,84.12,Canada,
Javelin throw,Gold,Arshad Nadeem,92.97,Pakistan,OR
Decathlon,Gold,Markus Rooth,8796,Norway,NR
100 metres,Silver,Kishane Thompson,9.79,Jamaica,
200 metres,Silver,Kenny Bednarek,19.62,United States,
400 metres,Silver,Matthew Hudson-Smith,43.44,Great Britain,AR
800 metres,Silver,Marco Arop,1:41.20,Canada,AR
1500 metres,Silver,Josh Kerr,3:27.79,Great Britain,NR
5000 metres,Silver,Ronald Kwemoi,13:15.04,Kenya,
"10,000 metres",Silver,Berihu Aregawi,26:43.44,Ethiopia,
110 metres hurdles,Silver,Daniel Roberts,13.09,United States,
400 metres hurdles,Silver,Karsten Warholm,47.06,Norway,
3000 metres steeplechase,Silver,Kenneth Rooks,8:06.41,United States,PB
4 × 100 metres relay,Silver,South Africa Bayanda Walaza Shaun Maswanganyi Bradley Nkoana Akani Simbine,37.57,South Africa,AR
4 × 400 metres relay,Silver,Botswana Bayapo Ndori Busang Collen Kebinatshipi Anthony Pesela Letsile Tebogo,2:54.53,Botswana,AR
Marathon,Silver,Bashir Abdi,2:06:47,Belgium,
20 kilometres walk,Silver,Caio Bonfim,1:19:09,Brazil,
High jump,Silver,Shelby McEwen,2.36,United States,PB
Pole vault,Silver,Sam Kendricks,5.95,United States,=SB
Long jump,Silver,Wayne Pinnock,8.36,Jamaica,
Triple jump,Silver,Pedro Pichardo,17.84,Portugal,
Shot put,Silver,Joe Kovacs,22.15,United States,
Discus throw,Silver,Mykolas Alekna,69.97,Lithuania,
Hammer throw,Silver,Bence Halász,79.97,Hungary,
Javelin throw,Silver,Neeraj Chopra,89.45,India,SB
Decathlon,Silver,Leo Neugebauer,8748,Germany,
100 metres,Bronze,Fred Kerley,9.81,United States,SB
200 metres,Bronze,Noah Lyles,19.70,United States,
400 metres,Bronze,Muzala Samukonga,43.74,Zambia,NR
800 metres,Bronze,Djamel Sedjati,1:41.50,Algeria,
1500 metres,Bronze,Yared Nuguse,3:27.80,United States,PB
5000 metres,Bronze,Grant Fisher,13:15.13,United States,
"10,000 metres",Bronze,Grant Fisher,26:43.46,United States,SB
110 metres hurdles,Bronze,Rasheed Broadbell,13.09,Jamaica,SB
400 metres hurdles,Bronze,Alison dos Santos,47.26,Brazil,
3000 metres steeplechase,Bronze,Abraham Kibiwot,8:06.47,Kenya,SB
4 × 100 metres relay,Bronze,Great Britain Jeremiah Azu Louie Hinchliffe Nethaneel Mitchell-Blake Zharnel Hughes Richard Kilty[b],37.61,Great Britain,SB
4 × 400 metres relay,Bronze,Great Britain Alex Haydock-Wilson Matthew Hudson-Smith Lewis Davey Charlie Dobson Samuel Reardon[b] Toby Harries[b],2:55.83,Great Britain,AR
Marathon,Bronze,Benson Kipruto,2:07:00,Kenya,
20 kilometres walk,Bronze,Álvaro Martín,1:19:11,Spain,
High jump,Bronze,Mutaz Barsham,2.34,Qatar,SB
Pole vault,Bronze,Emmanouil Karalis,5.90,Greece,
Long jump,Bronze,Mattia Furlani,8.34,Italy,
Triple jump,Bronze,Andy Díaz,17.64,Italy,SB
Shot put,Bronze,Rajindra Campbell,22.15,Jamaica,
Discus throw,Bronze,Matthew Denny,69.31,Australia,
Hammer throw,Bronze,Mykhaylo Kokhan,79.39,Ukraine,
Javelin throw,Bronze,Anderson Peters,88.54,Grenada,
Decathlon,Bronze,Lindon Victor,8711,Grenada,SB
